driver_id,grid_position,quali_gap_to_pole
antonelli,2.0,0.068
hamilton,5.0,0.29
max_verstappen,6.0,0.329
leclerc,8.0,0.398
hadjar,7.0,0.357
colapinto,10.0,1.119
lawson,12.0,1.319
gasly,14.0,1.609
sainz,15.0,1.695
bearman,16.0,1.838
piastri,4.0,0.203
hulkenberg,11.0,1.308
bortoleto,13.0,1.493
ocon,17.0,2.267
stroll,22.0,3.617
bottas,21.0,3.694
perez,20.0,2.851
norris,3.0,0.151
russell,1.0,0.0
alonso,19.0,2.618
albon,18.0,2.273
arvid_lindblad,9.0,0.702
