driver_id,grid_position,quali_gap_to_pole
antonelli,1.0,0.0
max_verstappen,2.0,0.166
leclerc,3.0,0.345
norris,4.0,0.385
russell,5.0,0.399
hamilton,6.0,0.521
piastri,7.0,0.702
colapinto,8.0,0.964
hadjar,9.0,0.991
gasly,10.0,1.012
hulkenberg,11.0,1.641
lawson,12.0,1.701
bearman,13.0,1.769
sainz,14.0,1.77
ocon,15.0,1.974
albon,16.0,2.148
arvid_lindblad,17.0,2.335
alonso,18.0,3.3
stroll,19.0,3.366
bottas,20.0,3.831
perez,21.0,4.169
bortoleto,22.0,5.939
