driver_id,grid_position,quali_gap_to_pole
antonelli,1.0,0.0
russell,2.0,0.222
hamilton,3.0,0.351
leclerc,4.0,0.364
bearman,10.0,1.228
gasly,7.0,0.809
lawson,14.0,1.701
hadjar,9.0,1.057
sainz,17.0,2.253
colapinto,12.0,1.293
hulkenberg,11.0,1.29
arvid_lindblad,15.0,1.72
bottas,19.0,3.372
ocon,13.0,1.474
perez,21.0,4.842
max_verstappen,8.0,0.938
alonso,18.0,3.139
stroll,20.0,3.931
piastri,5.0,0.486
norris,6.0,0.544
bortoleto,16.0,1.901
albon,22.0,2.708
