driver_id,grid_position,quali_gap_to_pole
russell,1.0,0.0
antonelli,2.0,0.293
leclerc,4.0,0.809
hamilton,7.0,0.96
norris,6.0,0.957
max_verstappen,20.0,
bearman,12.0,1.793
arvid_lindblad,9.0,2.729
bortoleto,10.0,1.703
gasly,14.0,1.983
ocon,13.0,1.973
albon,15.0,2.423
lawson,8.0,1.476
colapinto,16.0,2.752
sainz,21.0,
perez,18.0,4.087
stroll,22.0,
alonso,17.0,3.451
bottas,19.0,4.726
hadjar,3.0,0.785
piastri,5.0,0.862
hulkenberg,11.0,1.785
