driver_id,grid_position,quali_gap_to_pole
antonelli,1.0,0.0
max_verstappen,2.0,0.043
hamilton,3.0,0.228
leclerc,4.0,0.3
hadjar,5.0,0.383
russell,6.0,0.394
piastri,7.0,0.573
norris,8.0,0.714
gasly,9.0,1.175
lawson,10.0,1.361
albon,11.0,1.736
sainz,12.0,1.764
hulkenberg,13.0,1.851
colapinto,14.0,1.944
arvid_lindblad,15.0,2.197
bortoleto,16.0,2.632
ocon,17.0,2.671
perez,18.0,2.696
bearman,19.0,2.763
bottas,20.0,3.232
alonso,21.0,3.298
stroll,22.0,4.01
